Image_Name,K_Value,Iteration,Execution_Time
leaf,32,4,0.9262
leaf,32,5,0.9141
leaf,32,6,0.9733
leaf,32,7,0.9432
leaf,32,8,0.8827
leaf,32,9,0.9526
leaf,64,0,1.7557
leaf,64,1,1.731
leaf,64,2,1.6995
leaf,64,3,1.7815
leaf,64,4,1.723
leaf,64,5,1.7655
leaf,64,6,1.7325
leaf,64,7,1.7072
leaf,64,8,1.8976
leaf,64,9,1.7612
windows,2,0,9.9752
windows,2,1,9.8369
windows,2,2,9.9486
windows,2,3,11.3708
windows,2,4,12.2405
windows,2,5,12.6831
windows,2,6,12.5315
windows,2,7,9.9072
windows,2,8,12.0342
windows,2,9,11.522
windows,4,0,1.4921
windows,4,1,1.5577
windows,4,2,1.5295
windows,4,3,1.5352
windows,4,4,1.6041
windows,4,5,1.5907
windows,4,6,1.4619
windows,4,7,1.4431
windows,4,8,1.418
windows,4,9,1.3909
windows,8,0,0.9397
windows,8,1,0.8608
windows,8,2,0.8946
windows,8,3,0.9304
windows,8,4,0.9155
windows,8,5,0.8875
windows,8,6,0.8355
windows,8,7,0.9013
windows,8,8,0.8023
windows,8,9,0.8028
windows,16,0,0.6587
windows,16,1,0.672
windows,16,2,0.611
windows,16,3,0.6249
windows,16,4,0.7499
windows,16,5,0.6434
windows,16,6,0.6631
windows,16,7,0.5994
windows,16,8,0.6171
windows,16,9,0.5846
windows,32,0,0.7236
windows,32,1,0.7558
windows,32,2,0.6962
windows,32,3,0.7191
windows,32,4,0.743
windows,32,5,0.7524
windows,32,6,0.7192
windows,32,7,0.7106
windows,32,8,0.743
windows,32,9,0.6952
windows,64,0,1.8003
windows,64,1,1.882
windows,64,2,1.8608
windows,64,3,1.8588
windows,64,4,1.8373
windows,64,5,1.7862
windows,64,6,1.8441
windows,64,7,1.8077
windows,64,8,1.7358
windows,64,9,1.74
