Dataset_Name,Dataset_Type,K_Value,Q_Budget,Iteration,Exec_Time_Coreset,Cost_P_C_Baseline,Cost_Q_C_prime,Cost_P_C_prime,Cost_Random,Exec_Time_Random
birb,image,2,4096,7,0.1948,43213.3984375,43086.01171875,43230.164,43222.273,0.0659
birb,image,2,4096,8,0.2097,43213.3984375,43109.11328125,43219.07,43225.363,0.0438
birb,image,2,4096,9,0.1572,43213.3984375,42879.96875,43224.164,43253.875,0.0403
birb,image,2,8192,0,0.176,43213.3984375,43371.73046875,43219.0,43222.242,0.051
birb,image,2,8192,1,0.1573,43213.3984375,43317.43359375,43215.906,43214.24,0.0538
birb,image,2,8192,2,0.152,43213.3984375,43080.65234375,43220.145,43216.086,0.0467
birb,image,2,8192,3,0.1602,43213.3984375,43246.78515625,43218.055,43218.805,0.0658
birb,image,2,8192,4,0.1543,43213.3984375,43171.53515625,43223.887,43221.555,0.0675
birb,image,2,8192,5,0.2416,43213.3984375,43179.79296875,43231.85,43216.85,0.0487
birb,image,2,8192,6,0.1688,43213.3984375,43085.1796875,43215.04,43218.73,0.0537
birb,image,2,8192,7,0.1672,43213.3984375,43190.203125,43227.17,43247.633,0.0507
birb,image,2,8192,8,0.1785,43213.3984375,43111.32421875,43237.367,43219.117,0.0678
birb,image,2,8192,9,0.1634,43213.3984375,43143.99609375,43237.46,43215.945,0.0532
birb,image,4,64,0,0.3776,16107.64453125,18618.923828125,18565.375,20812.9,0.0359
birb,image,4,64,1,0.3633,16107.64453125,14754.5810546875,17274.531,17198.21,0.0382
birb,image,4,64,2,0.3762,16107.64453125,14106.7158203125,18464.617,16714.238,0.0373
birb,image,4,64,3,0.3176,16107.64453125,16142.1376953125,16579.02,20439.152,0.0357
birb,image,4,64,4,0.3885,16107.64453125,16226.193359375,18556.146,19255.004,0.0505
birb,image,4,64,5,0.3328,16107.64453125,15468.185546875,16545.445,20420.166,0.0368
birb,image,4,64,6,0.3106,16107.64453125,14577.92578125,17253.328,20054.504,0.0441
birb,image,4,64,7,0.3709,16107.64453125,15746.5048828125,20859.453,17760.254,0.0391
birb,image,4,64,8,0.2674,16107.64453125,14380.6181640625,17363.459,18154.965,0.044
birb,image,4,64,9,0.3137,16107.64453125,15731.076171875,16615.06,19783.535,0.0342
birb,image,4,128,0,0.3404,16107.64453125,15772.611328125,16503.96,18019.516,0.0397
birb,image,4,128,1,0.3596,16107.64453125,15167.6796875,16966.281,16453.523,0.0376
birb,image,4,128,2,0.4198,16107.64453125,15571.57421875,16630.973,17487.117,0.0371
birb,image,4,128,3,0.3478,16107.64453125,15543.5458984375,16300.543,16384.977,0.0413
birb,image,4,128,4,0.3762,16107.64453125,15577.701171875,16470.547,19151.008,0.0378
birb,image,4,128,5,0.3601,16107.64453125,15368.6962890625,16446.844,18092.43,0.0369
birb,image,4,128,6,0.3715,16107.64453125,15811.14453125,16375.947,17278.828,0.0368
birb,image,4,128,7,0.2814,16107.64453125,16279.8369140625,16718.176,17777.602,0.0353
birb,image,4,128,8,0.3208,16107.64453125,14085.93359375,16936.895,16685.422,0.0374
birb,image,4,128,9,0.3612,16107.64453125,15659.037109375,16353.225,16830.938,0.0373
birb,image,4,256,0,0.4705,16107.64453125,15417.841796875,16577.627,19279.191,0.0389
birb,image,4,256,1,0.3181,16107.64453125,15877.837890625,16297.395,16569.713,0.0362
birb,image,4,256,2,0.3249,16107.64453125,16183.806640625,16343.746,17612.574,0.0396
birb,image,4,256,3,0.3478,16107.64453125,15587.1318359375,16474.623,18583.832,0.0362
birb,image,4,256,4,0.4368,16107.64453125,15661.759765625,16479.133,16981.855,0.0393
birb,image,4,256,5,0.3583,16107.64453125,16080.2666015625,16902.674,19701.217,0.0368
birb,image,4,256,6,0.3909,16107.64453125,15620.4072265625,16339.523,16292.457,0.0393
birb,image,4,256,7,0.3372,16107.64453125,16101.5126953125,16482.72,16352.533,0.0356
birb,image,4,256,8,0.4311,16107.64453125,15625.5341796875,16373.461,16212.739,0.0384
birb,image,4,256,9,0.3843,16107.64453125,15554.171875,16457.154,18537.576,0.0382
birb,image,4,512,0,0.4137,16107.64453125,15979.9541015625,16363.616,16273.603,0.0435
