Dataset,Clusters,Budget,Iteration,Cost,Time
spotify,32,256,1,3103.5161,1.0247
spotify,32,256,2,3084.559,1.0369
spotify,32,256,3,3221.5037,1.077
spotify,32,256,4,3076.1742,1.0587
spotify,32,512,0,2939.3074,1.0744
spotify,32,512,1,2955.8894,1.082
spotify,32,512,2,2936.1892,1.0333
spotify,32,512,3,2930.8156,1.1358
spotify,32,512,4,2880.372,1.0103
spotify,32,1024,0,2751.5629,1.1296
spotify,32,1024,1,2762.9488,1.0932
spotify,32,1024,2,2758.9343,1.0764
spotify,32,1024,3,2754.3268,1.0804
spotify,32,1024,4,2739.1249,1.0882
spotify,32,4096,0,2563.9955,1.2822
spotify,32,4096,1,2551.5304,1.2331
spotify,32,4096,2,2565.7144,1.2975
spotify,32,4096,3,2575.4476,1.2351
spotify,32,4096,4,2550.5735,1.2967
spotify,64,64,0,2691.5389,2.1244
spotify,64,64,1,2715.7645,2.0793
spotify,64,64,2,2862.6765,2.0063
spotify,64,64,3,2862.8325,2.028
spotify,64,64,4,3183.7228,2.007
spotify,64,128,0,2590.951,2.0211
spotify,64,128,1,2394.0862,1.9308
spotify,64,128,2,2393.5695,2.0845
spotify,64,128,3,2513.8383,1.9968
spotify,64,128,4,2629.2964,2.0107
spotify,64,256,0,2349.423,1.992
spotify,64,256,1,2205.2515,2.0902
spotify,64,256,2,2250.2203,2.0366
spotify,64,256,3,2266.6069,2.1255
spotify,64,256,4,2312.8278,1.9129
spotify,64,512,0,2124.4294,2.1011
spotify,64,512,1,2039.8955,2.0758
spotify,64,512,2,2090.5968,2.153
spotify,64,512,3,2121.1965,2.0389
spotify,64,512,4,2143.0153,2.0338
spotify,64,1024,0,2020.8473,2.0003
spotify,64,1024,1,1978.6848,2.0351
spotify,64,1024,2,1967.3375,2.0475
spotify,64,1024,3,2002.7928,2.1025
spotify,64,1024,4,1996.444,2.0988
spotify,64,4096,0,1830.0392,2.2492
spotify,64,4096,1,1825.0946,2.1091
spotify,64,4096,2,1848.7939,2.323
spotify,64,4096,3,1830.8445,2.1647
spotify,64,4096,4,1839.4847,2.1452
uber,2,64,0,739.2703,1.3954
uber,2,64,1,739.8796,1.3824
uber,2,64,2,793.1515,1.3656
uber,2,64,3,818.5956,1.3546
