Dataset,Clusters,Budget,Iteration,Cost,Time
birb,32,64,2,3468.0176,0.0744
birb,32,64,3,4004.2598,0.1139
birb,32,64,4,4267.2236,0.1161
birb,32,128,0,3178.7847,0.0744
birb,32,128,1,2911.2524,0.1066
birb,32,128,2,3110.4868,0.0728
birb,32,128,3,3428.7607,0.0745
birb,32,128,4,3021.4873,0.1292
birb,32,256,0,2901.669,0.0858
birb,32,256,1,2789.0479,0.0904
birb,32,256,2,2799.0981,0.1071
birb,32,256,3,3031.9688,0.091
birb,32,256,4,2940.245,0.0891
birb,32,512,0,2756.4841,0.1051
birb,32,512,1,2681.1062,0.1066
birb,32,512,2,2754.585,0.0781
birb,32,512,3,2620.6445,0.1164
birb,32,512,4,2618.513,0.0795
birb,32,1024,0,2427.103,0.0879
birb,32,1024,1,2541.9658,0.0883
birb,32,1024,2,2534.954,0.124
birb,32,1024,3,2561.2427,0.1329
birb,32,1024,4,2521.3447,0.0858
birb,32,2048,0,2451.213,0.1246
birb,32,2048,1,2421.6753,0.1119
birb,32,2048,2,2471.2573,0.0947
birb,32,2048,3,2448.15,0.1289
birb,32,2048,4,2471.0767,0.1161
birb,32,4096,0,2353.2986,0.1658
birb,32,4096,1,2450.7852,0.1439
birb,32,4096,2,2441.8018,0.1383
birb,32,4096,3,2369.6177,0.1229
birb,32,4096,4,2406.5454,0.1844
birb,64,64,0,3511.435,0.0838
birb,64,64,1,3761.4397,0.0893
birb,64,64,2,4177.953,0.1349
birb,64,64,3,2848.0034,0.0899
birb,64,64,4,2644.0813,0.0993
birb,64,128,0,2352.0378,0.0873
birb,64,128,1,1793.0941,0.0855
birb,64,128,2,2044.2346,0.095
birb,64,128,3,1998.3425,0.1267
birb,64,128,4,1888.1678,0.0893
birb,64,256,0,1702.3894,0.0858
birb,64,256,1,1676.6195,0.1235
birb,64,256,2,1639.6953,0.1191
birb,64,256,3,1687.8435,0.1162
birb,64,256,4,1770.3231,0.1185
birb,64,512,0,1521.2119,0.1235
birb,64,512,1,1550.2585,0.0885
birb,64,512,2,1613.0354,0.0872
birb,64,512,3,1574.0415,0.1162
birb,64,512,4,1566.1141,0.1222
birb,64,1024,0,1440.1501,0.0904
birb,64,1024,1,1504.0781,0.1317
birb,64,1024,2,1451.6132,0.1421
birb,64,1024,3,1496.1802,0.0914
birb,64,1024,4,1427.8024,0.1638
birb,64,2048,0,1373.0338,0.1149
birb,64,2048,1,1395.4387,0.1412
birb,64,2048,2,1387.842,0.1372
birb,64,2048,3,1404.2935,0.1126
