Dataset_Name,Dataset_Type,K_Clusters,Q_Budget,Iteration,Cost_Loyd,Time_Loyd,Cost_Biased,Time_Biased,Cost_Uniform,Time_Uniform
birb,image,8,128,1,8191.297,0.4555,9379.955,0.1243,8765.691,0.0329
birb,image,8,128,2,8191.297,0.4615,9095.93,0.1343,9700.603,0.0335
birb,image,8,128,3,8191.297,0.4516,9527.113,0.1241,9292.009,0.0409
birb,image,8,128,4,8191.297,0.4828,9375.59,0.1271,9933.412,0.0348
birb,image,8,256,0,8191.297,0.4549,9125.768,0.1212,8415.98,0.0379
birb,image,8,256,1,8191.297,0.4594,8442.084,0.1353,8737.719,0.0322
birb,image,8,256,2,8191.297,0.4575,8855.215,0.1325,9472.098,0.0366
birb,image,8,256,3,8191.297,0.473,8807.965,0.1335,8687.443,0.0325
birb,image,8,256,4,8191.297,0.4651,9134.383,0.1301,8621.88,0.0365
birb,image,8,512,0,8191.297,0.4413,9628.594,0.1344,8954.453,0.0378
birb,image,8,512,1,8191.297,0.4479,8568.158,0.1199,8503.105,0.0372
birb,image,8,512,2,8191.297,0.4389,8782.965,0.1708,8334.939,0.04
birb,image,8,512,3,8191.297,0.4595,8295.067,0.1219,8450.751,0.038
birb,image,8,512,4,8191.297,0.4711,8852.027,0.1295,9545.865,0.0349
birb,image,8,1024,0,8191.297,0.4875,8310.287,0.139,8685.6045,0.0417
birb,image,8,1024,1,8191.297,0.4899,8261.781,0.1314,8336.385,0.0501
birb,image,8,1024,2,8191.297,0.4556,8285.055,0.1897,8302.115,0.0383
birb,image,8,1024,3,8191.297,0.494,8281.063,0.1307,8325.053,0.0404
birb,image,8,1024,4,8191.297,0.4747,8670.435,0.1845,8883.75,0.0554
birb,image,8,4096,0,8191.297,0.4865,8247.337,0.1769,8211.838,0.0739
birb,image,8,4096,1,8191.2964,0.4906,8237.218,0.1389,8253.545,0.0673
birb,image,8,4096,2,8191.297,0.477,8237.146,0.1581,9154.484,0.067
birb,image,8,4096,3,8191.2974,0.4477,8210.458,0.1857,8243.895,0.0748
birb,image,8,4096,4,8191.297,0.4718,8202.619,0.1612,8616.296,0.062
birb,image,16,64,0,4265.044,0.7456,5380.727,0.1499,5611.2417,0.0385
birb,image,16,64,1,4265.044,0.7595,5492.342,0.1577,5308.3066,0.0394
birb,image,16,64,2,4265.044,0.7859,5452.091,0.1293,5332.8276,0.0378
birb,image,16,64,3,4265.044,0.7673,5146.964,0.1309,5951.653,0.0365
birb,image,16,64,4,4265.044,0.7727,5215.107,0.1396,5597.801,0.0381
birb,image,16,128,0,4265.044,0.7593,5065.118,0.1418,4868.8027,0.0374
birb,image,16,128,1,4265.044,0.7448,5195.8594,0.1524,5119.3745,0.039
birb,image,16,128,2,4265.044,0.759,5015.354,0.142,5148.261,0.0382
birb,image,16,128,3,4265.044,0.7779,5003.4243,0.1502,5217.4673,0.0418
birb,image,16,128,4,4265.044,0.7779,5327.34,0.1526,5139.043,0.0499
birb,image,16,256,0,4265.044,0.721,4844.598,0.1415,4963.129,0.0374
birb,image,16,256,1,4265.044,0.7559,4866.688,0.1877,5822.9937,0.0365
birb,image,16,256,2,4265.044,0.7256,4885.0806,0.1367,5706.3364,0.038
birb,image,16,256,3,4265.044,0.7636,4581.2085,0.1353,4782.287,0.0361
birb,image,16,256,4,4265.044,0.7774,4657.707,0.1571,4781.63,0.0424
birb,image,16,512,0,4265.044,0.7321,4404.984,0.1467,4477.949,0.037
birb,image,16,512,1,4265.044,0.7411,4519.252,0.135,5090.0576,0.0413
birb,image,16,512,2,4265.044,0.7741,4676.252,0.1574,4727.8906,0.0369
birb,image,16,512,3,4265.044,0.7339,4503.8364,0.1599,4499.2944,0.0368
birb,image,16,512,4,4265.044,0.7598,4540.6265,0.153,4714.7676,0.0393
birb,image,16,1024,0,4265.044,0.7566,4383.5176,0.13,4791.7495,0.0555
birb,image,16,1024,1,4265.044,0.8053,4549.9316,0.1467,4469.6855,0.0331
birb,image,16,1024,2,4265.044,0.7755,4431.621,0.1476,4457.5146,0.0432
birb,image,16,1024,3,4265.044,0.7776,4367.177,0.1347,4450.745,0.0428
birb,image,16,1024,4,4265.0435,0.7292,4511.604,0.1615,4370.9253,0.04
birb,image,16,4096,0,4265.044,0.7708,4378.054,0.2955,4386.575,0.1217
birb,image,16,4096,1,4265.044,0.7349,4294.8184,0.1614,4280.185,0.1156
birb,image,16,4096,2,4265.044,0.7819,4305.1484,0.2958,4287.9326,0.1339
birb,image,16,4096,3,4265.044,0.7598,4286.3574,0.1975,4437.035,0.1517
birb,image,16,4096,4,4265.044,0.7469,4250.3657,0.3972,4321.0576,0.0977
birb,image,32,64,0,2333.5647,1.6542,3324.1624,0.1546,4092.334,0.0405
birb,image,32,64,1,2333.5676,1.7131,3134.8115,0.1506,4649.7354,0.0385
birb,image,32,64,2,2333.5657,1.698,2994.3896,0.1487,3751.7197,0.0374
birb,image,32,64,3,2333.5674,1.6401,3501.4575,0.1496,3316.6836,0.0376
birb,image,32,64,4,2333.5674,1.6965,3154.8364,0.1523,3568.5054,0.0398
birb,image,32,128,0,2333.5674,1.7428,2973.2686,0.1761,2949.2908,0.0405
birb,image,32,128,1,2333.5654,1.6632,2836.6157,0.1561,3261.7192,0.0683
birb,image,32,128,2,2333.5674,1.6736,2901.0598,0.1621,3046.8525,0.0432
birb,image,32,128,3,2333.565,1.6597,3018.4956,0.1857,3478.7505,0.0346
birb,image,32,128,4,2333.5654,1.6192,2696.6416,0.1707,3015.9888,0.0477
birb,image,32,256,0,2333.5676,1.7418,2808.5615,0.1699,2966.7065,0.0425
birb,image,32,256,1,2333.5674,1.8168,2716.9746,0.1709,2727.768,0.039
birb,image,32,256,2,2333.565,1.7966,2758.2375,0.1501,3019.4604,0.0461
birb,image,32,256,3,2333.5674,1.6921,2758.4165,0.1614,2928.655,0.0433
birb,image,32,256,4,2333.567,1.6713,2821.8394,0.1662,2868.227,0.0436
birb,image,32,512,0,2333.5676,1.7459,2475.1333,0.2049,2730.861,0.051
birb,image,32,512,1,2333.5654,1.815,2542.8796,0.1736,2611.254,0.0379
birb,image,32,512,2,2333.5654,1.7197,2593.9028,0.1721,2616.9624,0.041
birb,image,32,512,3,2333.5657,1.7834,2617.9185,0.1658,2680.682,0.044
birb,image,32,512,4,2333.5518,1.7095,2644.5435,0.1704,2579.6602,0.044
birb,image,32,1024,0,2333.5674,1.7924,2448.9004,0.1833,2567.999,0.0454
birb,image,32,1024,1,2333.5674,1.7223,2510.6338,0.1719,2493.2368,0.043
birb,image,32,1024,2,2333.5615,1.7089,2468.9622,0.1647,2509.8726,0.0411
birb,image,32,1024,3,2333.5671,1.7441,2507.751,0.17,2587.8623,0.0454
birb,image,32,1024,4,2333.5676,1.7564,2459.9912,0.1729,2582.5562,0.0423
birb,image,32,4096,0,2333.5674,1.7168,2378.4487,0.2149,2401.6887,0.0609
birb,image,32,4096,1,2333.5613,1.7599,2412.2285,0.2128,2374.5562,0.0661
birb,image,32,4096,2,2333.567,1.8353,2349.3506,0.2091,2408.1353,0.0666
birb,image,32,4096,3,2333.5674,1.8534,2430.1519,0.1975,2401.7542,0.0625
birb,image,32,4096,4,2333.5613,1.9025,2397.4473,0.1779,2392.4094,0.0617
birb,image,64,64,0,1258.1469,4.1267,1653.6782,0.2204,3212.0757,0.0509
birb,image,64,64,1,1258.1455,4.2309,1738.0815,0.2209,3158.9878,0.0507
birb,image,64,64,2,1258.1477,3.9404,1689.5593,0.1948,2675.1113,0.048
birb,image,64,64,3,1258.1472,3.8357,1806.5458,0.203,2660.794,0.0564
birb,image,64,64,4,1258.1466,3.8309,1727.9747,0.2017,3320.0454,0.0923
birb,image,64,128,0,1258.1461,3.946,1679.6377,0.1902,2070.9678,0.0476
birb,image,64,128,1,1258.1462,3.8864,1729.7356,0.2171,1957.1897,0.0486
birb,image,64,128,2,1258.1475,4.1144,1713.2988,0.1984,1925.7991,0.0542
birb,image,64,128,3,1258.146,3.8531,1676.5366,0.2311,2010.1747,0.0522
birb,image,64,128,4,1258.1484,3.9181,1686.0737,0.223,2074.1274,0.0583
birb,image,64,256,0,1258.1505,4.0161,1622.0469,0.2266,1808.3646,0.0533
birb,image,64,256,1,1258.1455,3.9993,1563.9187,0.2162,1643.1265,0.0503
birb,image,64,256,2,1258.1495,3.965,1534.7332,0.2091,1664.6831,0.0454
birb,image,64,256,3,1258.1454,3.8923,1564.9043,0.2051,1971.9812,0.051
birb,image,64,256,4,1258.1476,3.9362,1585.3866,0.2087,1656.8147,0.0539
birb,image,64,512,0,1258.1458,3.895,1494.9993,0.2001,1571.5138,0.0499
birb,image,64,512,1,1258.1495,3.9728,1524.3315,0.2008,1631.6648,0.0551
birb,image,64,512,2,1258.1473,3.8546,1474.8445,0.2048,1577.851,0.0537
birb,image,64,512,3,1258.1458,3.7723,1454.8206,0.201,1590.8896,0.0498
birb,image,64,512,4,1258.1495,3.9792,1484.8318,0.2082,1610.7844,0.051
birb,image,64,1024,0,1258.1497,3.9512,1398.2009,0.1974,1441.383,0.0513
birb,image,64,1024,1,1258.1495,4.011,1381.3136,0.2034,1491.332,0.0703
birb,image,64,1024,2,1258.1495,4.005,1426.6141,0.1968,1435.3209,0.0515
birb,image,64,1024,3,1258.1484,3.8292,1408.5435,0.1903,1476.4407,0.0508
birb,image,64,1024,4,1258.1489,3.9794,1419.9939,0.2006,1422.7974,0.0564
birb,image,64,4096,0,1258.1493,3.778,1305.7606,0.2391,1339.1086,0.0733
birb,image,64,4096,1,1258.1509,3.9406,1306.1443,0.237,1326.833,0.0721
birb,image,64,4096,2,1258.1454,3.704,1337.8146,0.2194,1338.4497,0.0763
birb,image,64,4096,3,1258.1453,3.686,1305.1271,0.2362,1335.6042,0.095
birb,image,64,4096,4,1258.1495,3.7788,1306.8855,0.2269,1340.9104,0.0728
donuts,tabular,2,64,0,99270338.16536382,0.263,101136238.83279167,0.184,101198354.11031367,0.0664
