Dataset_Name,Dataset_Type,K_Value,Iteration,Execution_Time
doughnuts,tabular,2,0,0.6524
doughnuts,tabular,4,0,0.7967
doughnuts,tabular,8,0,1.1143
doughnuts,tabular,16,0,1.0067
doughnuts,tabular,32,0,1.0027
doughnuts,tabular,64,0,1.7065
