Dataset_Name,Dataset_Type,K_Value,Iteration,Execution_Time
doughnuts,tabular,4,4,0.4084
doughnuts,tabular,4,5,0.2346
doughnuts,tabular,4,6,0.2513
doughnuts,tabular,4,7,0.1947
doughnuts,tabular,4,8,0.1814
doughnuts,tabular,4,9,0.4096
doughnuts,tabular,8,0,0.4695
doughnuts,tabular,8,1,0.6048
doughnuts,tabular,8,2,0.5045
doughnuts,tabular,8,3,0.2167
doughnuts,tabular,8,4,0.2869
doughnuts,tabular,8,5,0.2636
doughnuts,tabular,8,6,0.2566
doughnuts,tabular,8,7,0.634
doughnuts,tabular,8,8,0.4603
doughnuts,tabular,8,9,0.3742
doughnuts,tabular,16,0,0.4195
doughnuts,tabular,16,1,0.3668
doughnuts,tabular,16,2,0.3047
doughnuts,tabular,16,3,0.3112
doughnuts,tabular,16,4,0.4582
doughnuts,tabular,16,5,0.5082
doughnuts,tabular,16,6,0.3859
doughnuts,tabular,16,7,0.5469
doughnuts,tabular,16,8,0.4748
doughnuts,tabular,16,9,0.4102
doughnuts,tabular,32,0,0.3585
doughnuts,tabular,32,1,0.3421
doughnuts,tabular,32,2,0.3569
doughnuts,tabular,32,3,0.3638
doughnuts,tabular,32,4,0.374
doughnuts,tabular,32,5,0.3101
doughnuts,tabular,32,6,0.3302
doughnuts,tabular,32,7,0.3953
doughnuts,tabular,32,8,0.3698
doughnuts,tabular,32,9,0.3248
doughnuts,tabular,64,0,0.6899
doughnuts,tabular,64,1,0.8584
doughnuts,tabular,64,2,0.7765
doughnuts,tabular,64,3,0.716
doughnuts,tabular,64,4,0.7327
doughnuts,tabular,64,5,0.8126
doughnuts,tabular,64,6,0.8578
doughnuts,tabular,64,7,0.7229
doughnuts,tabular,64,8,0.7465
doughnuts,tabular,64,9,0.8283
