Image_Name,K_Value,Iteration,Execution_Time
forest,32,8,1.5388
forest,32,9,1.4908
forest,64,0,2.1268
forest,64,1,2.1438
forest,64,2,1.9498
forest,64,3,1.9774
forest,64,4,2.0003
forest,64,5,2.0823
forest,64,6,1.7795
forest,64,7,1.7083
forest,64,8,1.8352
forest,64,9,2.0222
